sample,body,closed_at,created_at,framwork,html_url,label,number,state,title,updated_at
googlesamples/io2014-codelabs,"I'm not sure what kind of information we should expect here, but definitely not an example of Pub Sub Java.
",2014-07-15 02:27:33,2014-07-12 00:11:32,googlesamples,https://github.com/googlesamples/io2014-codelabs/issues/18,non-question,18.0,closed,The main README file is not about Google I/O nor code labs,2014-07-15 02:27:33
googlesamples/google-services,"### Describe your environment

  * Device: iphone x simulator
  * OS version: ios ~~13~~ sorry, it was 12.4
  * SDK version: google sign in sdk 5.0.0 and 5.0.1
  * [Android] Google Play Services version: not relevant
  
### Describe the problem:

Canceling the sign in process leads to `kGIDSignInErrorCodeUnknown` instead of `kGIDSignInErrorCodeCanceled`. Please NOTE that I am able to sign in successfully if I don't cancel the flow.

#### Steps to reproduce:

  1. integrate sign in
  2. tap login in
  3. tap cancel in the login modal (see 1st screenshot)
  4. the delegate is called with wrong error (see 2nd screenshot)

![Screenshot 2019-10-02 at 11 25 26](https://user-images.githubusercontent.com/1566403/66034113-e1110980-e508-11e9-9f01-35a495fffa39.png)

  
![Screenshot 2019-10-02 at 11 39 28](https://user-images.githubusercontent.com/1566403/66034319-5381e980-e509-11e9-8195-1b0c0974ca55.png)

#### Observed Results:

  * the delegate is called with `kGIDSignInErrorCodeUnknown`
  
#### Expected Results:

  * the delegate is called with `kGIDSignInErrorCodeCanceled` as covered in [docs](https://developers.google.com/identity/sign-in/ios/reference/Enums/GIDSignInErrorCode#kgidsigninerrorcodecanceled)

#### Relevant Code:

  ```
  // just use the sample app
  ```
",2019-11-13 18:00:09,2019-10-02 09:40:13,googlesamples,https://github.com/googlesamples/google-services/issues/426,non-question,426.0,closed,Cancelling google sign in on ios gives wrong error,2019-11-21 15:45:38
googlesamples/google-services,"### Step 1: Are you in the right place?

A better place would be a official bug tracker for the play services...
Luckily the problem is reproducible in the Sample App

### Step 2: Describe your environment

  * Device: Pixel 2
  * OS version: 8.1.0
  * SDK version: 27
https://github.com/googlesamples/google-services/blob/3f8dadb779ecf1cd49935accde20e498f895dd08/android/signin/app/build.gradle#L4
  * [Android] Google Play Services version: 15.0.1
https://github.com/googlesamples/google-services/blob/3f8dadb779ecf1cd49935accde20e498f895dd08/android/signin/app/build.gradle#L39
  
### Step 3: Describe the problem:
Canceling the account chooser in the SignInActivity (https://github.com/googlesamples/google-services/blob/3f8dadb779ecf1cd49935accde20e498f895dd08/android/signin/app/src/main/java/com/google/samples/quickstart/signin/SignInActivity.java) leads to a `GoogleSignInStatusCodes.ERROR` instead of `GoogleSignInStatusCodes.SIGN_IN_CANCELLED` status Code
#### Steps to reproduce:

  1. Open the ""SignInActivity""
  2. Click the ""Sign In"" button
  3. Cancel the chooser by clicking the background
  
#### Observed Results:

The returned status code is GoogleSignInStatusCodes.ERROR (13)
#### Expected Results:

It should return a status code with GoogleSignInStatusCodes.SIGN_IN_CANCELLED (12501)  
#### Relevant Code:

I changed this line https://github.com/googlesamples/google-services/blob/3f8dadb779ecf1cd49935accde20e498f895dd08/android/signin/app/src/main/java/com/google/samples/quickstart/signin/SignInActivity.java#L105 to :
  ```
    switch (e.getStatusCode()) {
        case GoogleSignInStatusCodes.CANCELED:
            Log.w(TAG, ""CANCELED"");
            break;
        case GoogleSignInStatusCodes.NETWORK_ERROR:
            Log.w(TAG, ""NETWORK_ERROR"");
            break;
        case GoogleSignInStatusCodes.SIGN_IN_CANCELLED:
            Log.w(TAG, ""SIGN_IN_CANCELLED"");
            break;
        case GoogleSignInStatusCodes.ERROR:
            Log.w(TAG, ""ERROR"");
            break;
    }
    Log.w(TAG, ""signInResult:failed code="" + e.getStatusCode());
  ```
after canceling the account chooser:
```
ERROR
signInResult:failed code=13
```",2018-08-14 16:01:36,2018-07-16 13:53:20,googlesamples,https://github.com/googlesamples/google-services/issues/374,non-question,374.0,closed,Canceling a Sign in leads to GoogleSignInStatusCodes.ERROR,2018-08-14 16:01:36
googlesamples/google-services,"Right now the Travis CI build only builds the iOS samples, but it should be possible to use Travis' build matrix to support Android as well.
",,2017-12-15 17:56:09,googlesamples,https://github.com/googlesamples/google-services/issues/347,non-question,347.0,open,Allow both Android and iOS builds,2019-07-09 18:45:55
googlesamples/google-services,"Right now the Travis CI build only builds the iOS samples, but it should be possible to use Travis' build matrix to support Android as well.
",,2017-12-15 17:56:09,googlesamples,https://github.com/googlesamples/google-services/issues/347,non-question,347.0,open,Allow both Android and iOS builds,2019-07-09 18:45:55
googlesamples/google-services,"When running the sample for SignInClient everything works correctly when no device rotation occurs. But if you rotate the device **after** showing the SignIn dialog you receive incorrect results in onActivityResult.

  * Device: Nexus 9
  * OS version: Android N
  * SDK version: 26
  * [Android] Google Play Services version: 11.6.2
  
#### Steps to reproduce:

  1. Start sample with device in portrait orientation and select SignInActitivity
  2. tap Sign In and wait for Account selector Dialog
  3. Rotate device to landscape, now select account
  4. UI doesn't update to show logout and disconnect. onActivityResult() shows correct Request code of 9001. Result code of cancelled (although account was chosen) and task has ApiException 12502 - SIGN_IN_CURRENTLY_IN_PROGRESS

I've confirmed that there are not several attempts to startActivityForResult() for the signIn attempt as the error indicates. 

https://developers.google.com/android/reference/com/google/android/gms/auth/api/signin/GoogleSignInStatusCodes.html#SIGN_IN_CURRENTLY_IN_PROGRESS
  ",,2017-12-14 18:35:01,googlesamples,https://github.com/googlesamples/google-services/issues/345,non-question,345.0,open,SignIn Dialog from GoogleSignInClient.getSignInIntent() not returning correct result after rotation,2020-02-24 23:00:32
googlesamples/google-services,"Unable to update the `signin` sample to `11.0.0` because of this error:

```
* What went wrong:
Execution failed for task ':app:transformClassesWithDexForDebug'.
> com.android.build.api.transform.TransformException: com.android.ide.common.process.ProcessException: java.util.concurrent.ExecutionException: com.android.dex.DexException: Multiple dex files define Lcom/google/common/base/FinalizableReference;
```",2017-06-15 01:30:51,2017-06-07 22:12:53,googlesamples,https://github.com/googlesamples/google-services/issues/321,non-question,321.0,closed,Multiple dex files define FinalizeableReference,2017-06-17 09:17:41
googlesamples/google-services,"How to check invitation from sender side. I've requirement to grant sender when invitation is succeed
 (user has installed app).
I see 
AppInvite.AppInviteApi.updateInvitationOnInstall(mGoogleApiClient, invitationId);
But no information how to get the status.

Thanks!
",2015-07-20 14:47:48,2015-07-20 09:54:05,googlesamples,https://github.com/googlesamples/google-services/issues/28,non-question,28.0,closed,"Google App Invites, how to check invitation status from sender side.",2015-07-21 06:49:03
googlesamples/android-vision,"How to Disable multiple barcode detection android Vision API

SO question [here](http://stackoverflow.com/questions/42112519/how-to-disable-multiple-barcode-detection-android-vision-api)",2017-02-16 20:11:16,2017-02-08 12:35:26,googlesamples,https://github.com/googlesamples/android-vision/issues/192,question,192.0,closed,How to Disable multiple barcode detection android Vision API,2017-02-16 20:11:16
googlesamples/android-vision,"Installed barcode reader sample app size for S5 with Api 23 is 17Meg but in S4 mini with Api 17 is 5 Meg
why there is huge difference in application size in these two devices. Is this related for Native Libraries?
I tried midified version of sample without tracker and application size was same in two devices",2017-01-10 15:54:26,2017-01-08 21:40:13,googlesamples,https://github.com/googlesamples/android-vision/issues/178,question,178.0,closed,barcode application size is different on S5 with api 23 and s4 mini with api 17,2017-01-10 15:54:32
