,numberOfJavaFiles,countLineCode/numberOfJavaFiles,SumCyclomaticStrict/CountDeclMethod,readability
Azure-Samples\\ms-identity-java-webapp,"Mann_Kendall_Test(trend='increasing', h=True, p=0.0, z=9.328919769108193, Tau=0.6483516483516484, s=2714.0, var_s=84574.0, slope=0.17307692307692307, intercept=4.125)","Mann_Kendall_Test(trend='no trend', h=False, p=0.47442186769075834, z=-0.7153029474397389, Tau=-0.05040611562350693, s=-211.0, var_s=86190.33333333333, slope=0.0, intercept=53.54545454545455)","Mann_Kendall_Test(trend='decreasing', h=True, p=1.599277636099572e-05, z=-4.314550790452002, Tau=-0.30243669374104154, s=-1266.0, var_s=85962.66666666667, slope=-0.0026442055240495704, intercept=2.0550939600399074)","Mann_Kendall_Test(trend='increasing', h=True, p=4.558585265490578e-06, z=4.58414009870613, Tau=0.320831342570473, s=1343.0, var_s=85701.66666666667, slope=0.0001804179214166821, intercept=0.12638083790694526)"
Azure-Samples\\hello-spring-function-azure,"Mann_Kendall_Test(trend='increasing', h=True, p=5.4129706685390744e-05, z=4.037040588288631, Tau=0.32222222222222224, s=203.0, var_s=2503.6666666666665, slope=0.0, intercept=6.0)","Mann_Kendall_Test(trend='increasing', h=True, p=3.479871795164513e-06, z=4.640250447358991, Tau=0.40793650793650793, s=257.0, var_s=3043.6666666666665, slope=0.0, intercept=26.16666666666667)","Mann_Kendall_Test(trend='increasing', h=True, p=5.4129706685390744e-05, z=4.037040588288631, Tau=0.32222222222222224, s=203.0, var_s=2503.6666666666665, slope=0.0, intercept=1.5333333333333334)","Mann_Kendall_Test(trend='increasing', h=True, p=5.4129706685390744e-05, z=4.037040588288631, Tau=0.32222222222222224, s=203.0, var_s=2503.6666666666665, slope=0.0, intercept=0.16657051005555934)"
Azure-Samples\\azure-cosmos-java-getting-started,"Mann_Kendall_Test(trend='increasing', h=True, p=8.444597621171113e-08, z=5.357361668005236, Tau=0.6477832512315271, s=263.0, var_s=2391.6666666666665, slope=0.07692307692307693, intercept=6.923076923076923)","Mann_Kendall_Test(trend='increasing', h=True, p=2.2471933647238984e-08, z=5.591806377643531, Tau=0.7266009852216748, s=295.0, var_s=2764.3333333333335, slope=1.3877314814814814, intercept=27.69675925925926)","Mann_Kendall_Test(trend='increasing', h=True, p=5.662870838918366e-09, z=5.826420841946778, Tau=0.7216748768472906, s=293.0, var_s=2511.6666666666665, slope=0.02918379781291046, intercept=0.6894660463055282)","Mann_Kendall_Test(trend='no trend', h=False, p=0.5442622151056977, z=-0.6063803480613866, Tau=-0.07635467980295567, s=-31.0, var_s=2447.6666666666665, slope=0.0, intercept=0.1287465800430962)"
Azure-Samples\\azure-cosmos-java-sql-api-todo-app,"Mann_Kendall_Test(trend='no trend', h=False, p=1.0, z=0, Tau=0.0, s=0.0, var_s=0.0, slope=0.0, intercept=9.0)","Mann_Kendall_Test(trend='no trend', h=False, p=0.49793111372435117, z=-0.6777485878685923, Tau=-0.07692307692307693, s=-27.0, var_s=1471.6666666666667, slope=0.0, intercept=42.66666666666666)","Mann_Kendall_Test(trend='no trend', h=False, p=0.49793111372435117, z=-0.6777485878685923, Tau=-0.07692307692307693, s=-27.0, var_s=1471.6666666666667, slope=0.0, intercept=1.3714285714285714)","Mann_Kendall_Test(trend='no trend', h=False, p=0.6389191374815613, z=0.4692105608321023, Tau=0.05413105413105413, s=19.0, var_s=1471.6666666666667, slope=0.0, intercept=0.1978046935303913)"
Azure-Samples\\documentdb-java-todo-app,"Mann_Kendall_Test(trend='no trend', h=False, p=1.0, z=0, Tau=0.0, s=0.0, var_s=0.0, slope=0.0, intercept=9.0)","Mann_Kendall_Test(trend='no trend', h=False, p=0.1542439523830308, z=-1.4246999541674032, Tau=-0.15692307692307692, s=-51.0, var_s=1231.6666666666667, slope=0.0, intercept=42.66666666666666)","Mann_Kendall_Test(trend='no trend', h=False, p=0.1542439523830308, z=-1.4246999541674032, Tau=-0.15692307692307692, s=-51.0, var_s=1231.6666666666667, slope=0.0, intercept=1.3714285714285714)","Mann_Kendall_Test(trend='no trend', h=False, p=0.23140480687007914, z=1.1967479615006187, Tau=0.13230769230769232, s=43.0, var_s=1231.6666666666667, slope=0.0, intercept=0.1978046935303913)"
Azure-Samples\\piggymetrics,"Mann_Kendall_Test(trend='increasing', h=True, p=0.0, z=23.295263674991993, Tau=0.9264026652532747, s=36705.0, var_s=2482513.0, slope=0.3082706766917293, intercept=38.68796992481203)","Mann_Kendall_Test(trend='increasing', h=True, p=4.643507800494717e-11, z=6.581939145795618, Tau=0.262588021503748, s=10404.0, var_s=2498098.0, slope=0.02012304201754019, intercept=31.95765883309474)","Mann_Kendall_Test(trend='increasing', h=True, p=0.0, z=8.727731042152463, Tau=0.3473410565104364, s=13762.0, var_s=2485978.0, slope=0.00028013081279413117, intercept=0.9897678343946575)","Mann_Kendall_Test(trend='decreasing', h=True, p=0.0, z=-10.959664196608887, Tau=-0.43711668054819414, s=-17319.0, var_s=2496899.0, slope=-0.00012819681165680553, intercept=0.14563850645676213)"
Azure-Samples\\azure-cosmos-cassandra-java-retry-sample-v4,"Mann_Kendall_Test(trend='increasing', h=True, p=0.036888425707049866, z=2.0869967789998034, Tau=0.5357142857142857, s=15.0, var_s=45.0, slope=0.9285714285714286, intercept=-3.25)","Mann_Kendall_Test(trend='increasing', h=True, p=0.036888425707049866, z=2.0869967789998034, Tau=0.5357142857142857, s=15.0, var_s=45.0, slope=11.039682539682538, intercept=-38.638888888888886)","Mann_Kendall_Test(trend='increasing', h=True, p=0.036888425707049866, z=2.0869967789998034, Tau=0.5357142857142857, s=15.0, var_s=45.0, slope=0.2551480051480052, intercept=-0.8930180180180181)","Mann_Kendall_Test(trend='increasing', h=True, p=0.036888425707049866, z=2.0869967789998034, Tau=0.5357142857142857, s=15.0, var_s=45.0, slope=0.0016307123153219147, intercept=-0.005707493103626702)"
Azure-Samples\\cosmos-changefeed-cassandra-java,"Mann_Kendall_Test(trend='no trend', h=False, p=0.2415665869689727, z=1.1710800875382399, Tau=0.3333333333333333, s=5.0, var_s=11.666666666666666, slope=0.0, intercept=0.0)","Mann_Kendall_Test(trend='no trend', h=False, p=0.2415665869689727, z=1.1710800875382399, Tau=0.3333333333333333, s=5.0, var_s=11.666666666666666, slope=0.0, intercept=0.0)","Mann_Kendall_Test(trend='no trend', h=False, p=0.2415665869689727, z=1.1710800875382399, Tau=0.3333333333333333, s=5.0, var_s=11.666666666666666, slope=0.0, intercept=0.0)","Mann_Kendall_Test(trend='no trend', h=False, p=0.2415665869689727, z=1.1710800875382399, Tau=0.3333333333333333, s=5.0, var_s=11.666666666666666, slope=0.0, intercept=0.0)"
Azure-Samples\\azure-functions-samples-java,"Mann_Kendall_Test(trend='increasing', h=True, p=0.0006693787226366155, z=3.4018234224313577, Tau=0.31339031339031337, s=110.0, var_s=1026.6666666666667, slope=0.0, intercept=3.0)","Mann_Kendall_Test(trend='increasing', h=True, p=0.0006693787226366155, z=3.4018234224313577, Tau=0.31339031339031337, s=110.0, var_s=1026.6666666666667, slope=0.0, intercept=38.333333333333336)","Mann_Kendall_Test(trend='increasing', h=True, p=0.0006693787226366155, z=3.4018234224313577, Tau=0.31339031339031337, s=110.0, var_s=1026.6666666666667, slope=0.0, intercept=1.0769230769230769)","Mann_Kendall_Test(trend='no trend', h=False, p=0.6858053974571101, z=-0.404553972275958, Tau=-0.05413105413105413, s=-19.0, var_s=1979.6666666666667, slope=0.0, intercept=0.0006697070008764664)"
Azure-Samples\\keda-eventhub-kafka-scaler-terraform,"Mann_Kendall_Test(trend='increasing', h=True, p=4.126597521691977e-06, z=4.604902197394541, Tau=0.5295566502463054, s=215.0, var_s=2159.6666666666665, slope=0.23809523809523808, intercept=1.666666666666667)","Mann_Kendall_Test(trend='no trend', h=False, p=0.09800799706035512, z=-1.6545885037809727, Tau=-0.19458128078817735, s=-79.0, var_s=2222.3333333333335, slope=0.0, intercept=52.2)","Mann_Kendall_Test(trend='decreasing', h=True, p=0.022552419885191854, z=-2.280932864130006, Tau=-0.26354679802955666, s=-107.0, var_s=2159.6666666666665, slope=0.0, intercept=2.4)","Mann_Kendall_Test(trend='increasing', h=True, p=1.054718781690056e-05, z=4.4056402608064085, Tau=0.5098522167487685, s=207.0, var_s=2186.3333333333335, slope=0.0024209023742601163, intercept=0.08353964203076127)"
Azure-Samples\\ms-identity-java-webapi,"Mann_Kendall_Test(trend='increasing', h=True, p=7.33100006700127e-07, z=4.95238335592608, Tau=0.4890756302521008, s=291.0, var_s=3429.0, slope=0.0, intercept=13.0)","Mann_Kendall_Test(trend='increasing', h=True, p=1.130985141095664e-07, z=5.304312352922531, Tau=0.611764705882353, s=364.0, var_s=4683.333333333333, slope=0.13675213675213665, intercept=48.82905982905982)","Mann_Kendall_Test(trend='increasing', h=True, p=0.008309229183537159, z=2.6392393521874835, Tau=0.2739495798319328, s=163.0, var_s=3767.6666666666665, slope=0.0, intercept=1.68)","Mann_Kendall_Test(trend='no trend', h=False, p=0.10701822395460736, z=1.6117414034059703, Tau=0.17647058823529413, s=105.0, var_s=4163.666666666667, slope=0.0, intercept=0.11781598629862015)"
Azure-Samples\\azure-cosmos-db-cassandra-java-getting-started,"Mann_Kendall_Test(trend='increasing', h=True, p=7.979858424911335e-05, z=3.945004187033809, Tau=0.36129032258064514, s=168.0, var_s=1792.0, slope=0.0, intercept=5.0)","Mann_Kendall_Test(trend='increasing', h=True, p=6.6329364223349785e-09, z=5.799963477667931, Tau=0.7053763440860215, s=328.0, var_s=3178.6666666666665, slope=0.816666666666667, intercept=26.749999999999993)","Mann_Kendall_Test(trend='increasing', h=True, p=6.151956457589591e-07, z=4.986384784567021, Tau=0.6021505376344086, s=280.0, var_s=3130.6666666666665, slope=0.01844532279314888, intercept=0.8537549407114624)","Mann_Kendall_Test(trend='no trend', h=False, p=1.0, z=0.0, Tau=-0.002150537634408602, s=-1.0, var_s=3151.6666666666665, slope=0.0, intercept=0.014501357078552247)"
Azure-Samples\\cognitive-services-android-customvision-sample,"Mann_Kendall_Test(trend='increasing', h=True, p=0.0070488794000900246, z=2.694526155781102, Tau=0.3235294117647059, s=44.0, var_s=254.66666666666666, slope=0.0, intercept=18.0)","Mann_Kendall_Test(trend='no trend', h=False, p=0.21010819752072663, z=-1.2532679794330706, Tau=-0.22794117647058823, s=-31.0, var_s=573.0, slope=-0.19968919968920007, intercept=101.81973581973583)","Mann_Kendall_Test(trend='increasing', h=True, p=0.00521944735555957, z=2.793168638800049, Tau=0.49264705882352944, s=67.0, var_s=558.3333333333334, slope=0.0030115111601421996, intercept=1.6312751423572804)","Mann_Kendall_Test(trend='no trend', h=False, p=0.49063614091158536, z=-0.6892973886881888, Tau=-0.08823529411764706, s=-12.0, var_s=254.66666666666666, slope=0.0, intercept=0.09284240813172397)"
Azure-Samples\\azure-iot-edge-devops-sample-java,"Mann_Kendall_Test(trend='no trend', h=False, p=1.0, z=0, Tau=0.0, s=0.0, var_s=0.0, slope=0.0, intercept=3.0)","Mann_Kendall_Test(trend='no trend', h=False, p=1.0, z=0, Tau=0.0, s=0.0, var_s=0.0, slope=0.0, intercept=66.66666666666667)","Mann_Kendall_Test(trend='no trend', h=False, p=1.0, z=0, Tau=0.0, s=0.0, var_s=0.0, slope=0.0, intercept=1.6666666666666667)","Mann_Kendall_Test(trend='no trend', h=False, p=1.0, z=0, Tau=0.0, s=0.0, var_s=0.0, slope=0.0, intercept=0.0)"
Azure-Samples\\azure-cosmos-java-sql-app-example,"Mann_Kendall_Test(trend='increasing', h=True, p=0.0017898432786234153, z=3.123054950240585, Tau=0.5142857142857142, s=54.0, var_s=288.0, slope=0.15384615384615385, intercept=0.9230769230769229)","Mann_Kendall_Test(trend='increasing', h=True, p=0.0006044001780705077, z=3.429632084877875, Tau=0.638095238095238, s=67.0, var_s=370.3333333333333, slope=9.807692307692308, intercept=57.34615384615384)","Mann_Kendall_Test(trend='no trend', h=False, p=0.19330617892903357, z=1.3008605871299255, Tau=0.24761904761904763, s=26.0, var_s=369.3333333333333, slope=0.26153846153846155, intercept=1.569230769230769)","Mann_Kendall_Test(trend='increasing', h=True, p=0.0017898432786234153, z=3.123054950240585, Tau=0.5142857142857142, s=54.0, var_s=288.0, slope=0.0018231629465635007, intercept=0.010938977679381004)"
Azure-Samples\\ms-identity-java-desktop,"Mann_Kendall_Test(trend='increasing', h=True, p=5.366043462906589e-07, z=5.0127398117701105, Tau=0.6, s=279.0, var_s=3075.6666666666665, slope=0.09090909090909091, intercept=-0.36363636363636376)","Mann_Kendall_Test(trend='no trend', h=False, p=0.3625606649830535, z=0.9104966171016285, Tau=0.10967741935483871, s=51.0, var_s=3015.6666666666665, slope=0.0, intercept=64.0)","Mann_Kendall_Test(trend='increasing', h=True, p=5.628316964956248e-05, z=4.027875344204955, Tau=0.44516129032258067, s=207.0, var_s=2615.6666666666665, slope=0.01282051282051281, intercept=1.4743589743589747)","Mann_Kendall_Test(trend='no trend', h=False, p=1.0, z=0, Tau=0.0, s=0.0, var_s=0.0, slope=0.0, intercept=0.0)"
Azure-Samples\\service-fabric-java-quickstart,"Mann_Kendall_Test(trend='decreasing', h=True, p=0.002352840150473101, z=-3.0416516462017977, Tau=-0.30039525691699603, s=-76.0, var_s=608.0, slope=0.0, intercept=6.0)","Mann_Kendall_Test(trend='decreasing', h=True, p=0.002352840150473101, z=-3.0416516462017977, Tau=-0.30039525691699603, s=-76.0, var_s=608.0, slope=0.0, intercept=58.0)","Mann_Kendall_Test(trend='decreasing', h=True, p=0.002352840150473101, z=-3.0416516462017977, Tau=-0.30039525691699603, s=-76.0, var_s=608.0, slope=0.0, intercept=1.9545454545454544)","Mann_Kendall_Test(trend='increasing', h=True, p=0.002352840150473101, z=3.0416516462017977, Tau=0.30039525691699603, s=76.0, var_s=608.0, slope=0.0, intercept=0.02040947663287322)"
Azure-Samples\\java-on-aks,"Mann_Kendall_Test(trend='increasing', h=True, p=0.0, z=24.959238296815514, Tau=0.8922469319953895, s=52639.0, var_s=4447706.333333333, slope=0.21217571397427515, intercept=49.61186505341181)","Mann_Kendall_Test(trend='increasing', h=True, p=0.007163268180911286, z=2.6891571789442374, Tau=0.09648111736388908, s=5692.0, var_s=4478626.0, slope=0.0023006657249498956, intercept=33.543580158068)","Mann_Kendall_Test(trend='increasing', h=True, p=0.0, z=9.37301552762164, Tau=0.3352091667231677, s=19776.0, var_s=4451171.333333333, slope=5.3351375798603524e-05, intercept=1.0199764526427726)","Mann_Kendall_Test(trend='decreasing', h=True, p=0.0, z=-8.87346006653658, Tau=-0.31773340565462066, s=-18745.0, var_s=4462092.333333333, slope=-5.900222683892698e-05, intercept=0.1377457363218569)"
Azure-Samples\\Hybrid-resources-java-manage-resource-group,"Mann_Kendall_Test(trend='increasing', h=True, p=0.0002612386039588799, z=3.6509829303424883, Tau=0.5321637426900585, s=91.0, var_s=607.6666666666666, slope=0.13333333333333333, intercept=0.8)","Mann_Kendall_Test(trend='increasing', h=True, p=0.0020488917587941913, z=3.0830522522892125, Tau=0.4502923976608187, s=77.0, var_s=607.6666666666666, slope=31.075, intercept=905.825)","Mann_Kendall_Test(trend='increasing', h=True, p=0.0020488917587941913, z=3.0830522522892125, Tau=0.4502923976608187, s=77.0, var_s=607.6666666666666, slope=0.15886588658865852, intercept=2.1156615661566187)","Mann_Kendall_Test(trend='no trend', h=False, p=0.23533326650958575, z=1.18673220792786, Tau=0.08187134502923976, s=14.0, var_s=120.0, slope=0.0, intercept=0.0)"
Azure-Samples\\hybrid-storage-java-manage-storage-accounts,"Mann_Kendall_Test(trend='increasing', h=True, p=0.0003625683774945987, z=3.565929832876473, Tau=0.4789473684210526, s=91.0, var_s=637.0, slope=0.0, intercept=2.0)","Mann_Kendall_Test(trend='increasing', h=True, p=0.0003625683774945987, z=3.565929832876473, Tau=0.4789473684210526, s=91.0, var_s=637.0, slope=0.0, intercept=1187.0)","Mann_Kendall_Test(trend='increasing', h=True, p=0.0003625683774945987, z=3.565929832876473, Tau=0.4789473684210526, s=91.0, var_s=637.0, slope=0.0, intercept=3.426966292134832)","Mann_Kendall_Test(trend='no trend', h=False, p=1.0, z=0, Tau=0.0, s=0.0, var_s=0.0, slope=0.0, intercept=0.0)"
Azure-Samples\\hybrid-compute-java-manage-vm,"Mann_Kendall_Test(trend='increasing', h=True, p=0.0003625683774945987, z=3.565929832876473, Tau=0.4789473684210526, s=91.0, var_s=637.0, slope=0.0, intercept=2.0)","Mann_Kendall_Test(trend='no trend', h=False, p=0.09629213394672687, z=1.663101428820569, Tau=0.2578947368421053, s=49.0, var_s=833.0, slope=0.0, intercept=1238.0)","Mann_Kendall_Test(trend='no trend', h=False, p=0.09629213394672687, z=1.663101428820569, Tau=0.2578947368421053, s=49.0, var_s=833.0, slope=0.0, intercept=3.3932584269662924)","Mann_Kendall_Test(trend='no trend', h=False, p=1.0, z=0, Tau=0.0, s=0.0, var_s=0.0, slope=0.0, intercept=0.0)"
Azure-Samples\\functions-quickstarts-java,"Mann_Kendall_Test(trend='increasing', h=True, p=0.005766120914237227, z=2.7607930059999104, Tau=0.5303030303030303, s=35.0, var_s=151.66666666666666, slope=0.3, intercept=1.35)","Mann_Kendall_Test(trend='increasing', h=True, p=0.0009847219533352103, z=3.294855803575498, Tau=0.6818181818181818, s=45.0, var_s=178.33333333333334, slope=4.0666666666666655, intercept=17.966666666666676)","Mann_Kendall_Test(trend='increasing', h=True, p=0.005766120914237227, z=2.7607930059999104, Tau=0.5303030303030303, s=35.0, var_s=151.66666666666666, slope=0.10769230769230768, intercept=0.48461538461538456)","Mann_Kendall_Test(trend='no trend', h=False, p=0.07230481489019347, z=1.7971940746775443, Tau=0.3787878787878788, s=25.0, var_s=178.33333333333334, slope=8.945337807138761e-06, intercept=4.025402013212442e-05)"
Azure-Samples\\azure-cosmos-cassandra-java-retry-sample,"Mann_Kendall_Test(trend='increasing', h=True, p=0.00027790308372943606, z=3.6350719324620644, Tau=0.42391304347826086, s=117.0, var_s=1018.3333333333334, slope=0.0, intercept=5.0)","Mann_Kendall_Test(trend='increasing', h=True, p=0.0009689526213254585, z=3.2993898012883127, Tau=0.45652173913043476, s=126.0, var_s=1435.3333333333333, slope=0.8500000000000003, intercept=55.02499999999999)","Mann_Kendall_Test(trend='increasing', h=True, p=9.292862742649177e-06, z=4.43300519176053, Tau=0.5760869565217391, s=159.0, var_s=1270.3333333333333, slope=0.008432539682539679, intercept=1.4030257936507937)","Mann_Kendall_Test(trend='increasing', h=True, p=0.024054882146072654, z=2.2562515442867985, Tau=0.2644927536231884, s=73.0, var_s=1018.3333333333334, slope=0.0, intercept=0.012644292414188385)"
