full_name,created_at,description,forks_count,language,open_issues_count,size,stargazers_count,subscribers_count,updated_at,watchers_count
SAP-samples/cloud-sfsf-benefits-ext,2013-10-18 08:10:51,SAP Employee Benefits Management is a sample extension application for SuccessFactors Employee Central. The application runs on SAP Cloud Platform and can be used by employees to make orders in specific benefits' campaigns and by HR managers to manage employee benefits and set up new benefits campaigns.,32,Java,6,14566,38,33,2021-08-03 22:10:48,38
SAP-samples/cloud-concur-expenses-ext,2015-10-26 10:23:03,This is a sample showing how you can connect to the Concur API and get a history of expenses.,2,Java,0,19,3,9,2020-10-22 17:36:05,3
SAP-samples/cloud-concur-travel-ext,2015-10-26 10:24:05,This is a sample showing how you can connect to the Concur API and get your travel itineraries.,0,Java,0,20,1,10,2020-10-22 18:13:40,1
SAP-samples/cloud-ariba-simple-requisition-ext,2016-06-27 13:01:19,"This is a sample SAP Cloud Platform application, demonstrating consumption of Ariba P2P API for purchase requisitions.",5,Java,0,73,5,15,2021-08-05 14:37:58,5
SAP-samples/cloud-espm-v2,2016-07-04 05:59:05,"This sample is a reference application project, showcasing an end-to-end development scenario for a Java-based app on SAP Cloud Platform. The app has a SAPUI5 web frontend, uses OData to connect to a Java-based cloud backend which in turn connects via JPA to an SAP HANA DB in the cloud.",87,Java,0,39368,104,50,2021-03-30 09:26:48,104
SAP-samples/cloud-cf-casino,2016-08-15 08:22:45,"Sample of a microservice running on SAP HANA Cloud Platform, Cloud Foundry services.",3,Java,0,22081,5,17,2020-11-05 17:52:42,5
SAP-samples/cloud-c4c-ticket-duplicate-finder-ext,2017-03-21 14:00:27,SAP duplicate ticket finder is a sample extension application for SAP Cloud for Customer that helps service agents to find and maintain tickets reported for same customer issues.,4,Java,0,21709,11,16,2020-10-22 17:10:50,11
SAP-samples/cloud-ariba-partner-flow-extension-ext,2017-06-22 14:54:32,Partner flow extension API sample extension application.,1,Java,0,88,3,10,2021-08-05 14:35:18,3
SAP-samples/cloud-ariba-discovery-rfx-to-external-marketplace-ext,2017-06-22 14:55:00,Ariba Discovery RFx Publication to External Marketplace API sample extension application.,5,Java,3,77,4,10,2020-12-24 10:44:19,4
SAP-samples/cloud-cf-feature-flags-sample,2017-08-28 12:16:30,"A sample application that demonstrates the consumption of Feature Flags service on SAP Cloud Platform, Cloud Foundry environment",3,Java,0,32,13,13,2021-02-01 13:54:57,13
SAP-samples/cloud-platform-connectivity-principal-propagation,2017-09-12 14:28:09,Learn how to set up principal propagation using SAP Cloud Platform Connectivity and Cloud Connector,14,Java,0,10672,22,12,2021-04-22 20:35:45,22
SAP-samples/hxe-hibernate-google-app-engine,2018-03-13 11:52:45,A sample application with the Hibernate framework interacting with a SAP HANA database instance on-premise and in the cloud.,1,Java,2,272,2,6,2021-05-19 13:14:51,2
SAP-samples/cloud-cf-espm,2018-05-09 20:44:46,A reference application showcasing an end-to-end development scenario in Java on SAP Cloud Platform Cloud Foundry.,9,Java,1,2421,13,10,2021-07-01 03:52:35,13
SAP-samples/event-mesh-client-java-samples,2018-07-10 20:09:28,Samples based on the Java messaging client for SAP Event Mesh (formerly Enterprise Messaging in SAP Cloud Platform).,12,Java,0,105,9,8,2021-07-05 10:31:53,9
SAP-samples/cloud-espm-cloud-native,2018-07-27 12:10:44,Enterprise Sales and Procurement Model (ESPM) Cloud Native is a project that showcases how an application can be made resilient by implementing resilience design patterns. This application is developed using Spring Boot framework and can be deployed locally as well as on SAP Cloud Platform Cloud Foundry environment.,22,Java,0,7179,24,14,2021-08-11 04:14:13,24
SAP-samples/cloud-sample-webhooks,2018-08-23 14:12:06,Webhooks functionality to send SAP Cloud Platform (now SAP BTP) alerts to an on-premise system.,1,Java,0,33,0,8,2021-08-16 07:53:35,0
